"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
"43","버스정류장 벤치교체의 건","게시글을 국민신문고에 올리게되었는데이곳에 작성하는게 맞는것 같아 다시 올리게 되었습니다. 안녕하세요.모현동 우림한솔맨션에 거주하고 있는 익산시민입니다.아침출근시마다 부모님께서 출근하실 때 매일 모현동 한국SGI익산문화회관 바로 앞에있는 버스정류장을 이용하시는데 불편을 겪으셔서 문의를 드리게 되었습니다.한 사람이 앉게되면 끝에 있는 다른한사람이 널뛰기라도 하듯이 의자가 튀어오르게 됩니다.한참되었다고 하는데 누구하나 건의하지도 않았겠지만 누구하나 고쳐주려고 하지도 않더군요.추운날씨 앉지도 못하고 서지도 못하고, 언젠가 보니 원대방면 버스정류장은 탄소발열의자가 있더라구요.순서대로 탄소발열의자 설치보다, 민원들어온 동네부터 우선적으로 탄소발열의자 바꿔주시기를 양해 부탁드립니다.날씨가 영하를 웃돌고 봄까지 꽃샘추위가 있으니 추운날은 여름이 오기까지 많은 날들이 남았습니다.현장점검 하시어, 저희 엄마와 우림한솔맨션 같은 아파트에 사시어 버스정류장 이용하시는 분들과 동네에 거주하시는분들이 춥지않도록 잠깐이라도 기다리는 시간에 따뜻하게 앉아서 기다릴 수 있도록 탄소발열의자를 꼭 변경해주시기를 부탁드립니다. ","2018-01-18","2018-01-18","2018-01-25","교통행정과","처리완료","덕릉로"
"44","냄새","분뇨 냄새가 너무 심하게 지속적으로 납니다","2017-08-24","2017-08-24","2017-08-24","녹색환경과","처리완료","덕릉로"
"45","도치마을 조명문제","안녕하십니까? 신용동 도치마을에 사는 대학생입니다.다름이 아니라 도치마을의 조명이 매우 멀리 떨어져있어, 밤이 되면 마을 전체(원룸 일대)가 매우 어두워져 무섭습니다.범죄발생확률도 있다고 보구요. 그렇기에 도치마을 내에 조명을 몇개 더 설치해 주시면 감사하겠습니다.빠른 답변 부탁드립니다.감사합니다.","2017-06-05","2017-06-05","2017-06-05","건설과","처리완료","덕릉로"
"46","익산시  불법현수막","주공8, 9차 뒤 사거리입니다  익산시 올바른 일처리를 했으면 합니다  이자리는  시민이우선이  아니라 익산시 우선인것 같습니다  이현수막은 불법아닌가 모르겠내요  안전한 횡단보도 사고없이 했으면 합니다  높이가 1m70은 넘지만  자전거 나 보행자 횡단보도 통행시 운전자  보행자 모두 위험 불편하지 않을까요??   현수막 철거해주세요! !","2016-06-06","2016-06-06","2016-06-13","도로관리과","처리완료","덕릉로"
"47","동산동동신아파트상가앞도로가많이패여있어요","동산동동신아파트 정문 맞은편 상가앞 도로가 많이 패이고 횡단보도 선 또한 없어진지 오래입니다.몇차례 건의를 하였으나 시 예산이 없어서 안된다고 하였습니다. (2015년)하지만 더이상 방치 하면 차량 손상뿐 아니라 시민들이 횡단보도로 다닐 시 넘어질 염려가 우려 됩니다.또한 상가 앞쪽으로 방지턱이 없어서 어린이들이 횡단보도로 건널 시에 위험성이 있으므로 방지턱을 해 주시면 감사 하겠습니다.  (신호등 없음)","2016-02-24","2016-02-24","2016-02-29","교통행정과","처리완료","덕릉로"
"48","(SPP-1708-1000501)비가오면 물이 고여서 불편합니다 * 첨부파일촬영시간","전라북도 부안군 부안읍 봉덕리 856-2비가오면 물이 고여서 불편합니다*  *(1/1) G: 2017/08/10 14:36:59G:*","2017-08-10","","2017-08-14","건설교통과","처리완료","덕릉로"
"49","불법건축물 철거민원","부안군청 건설교통과에서는 2018년 2월 5일 제기한 민원 신청번호 (1AA-1802-028959), 부안군 진서면 내소사로 188 전주식당 사업장 앞에 설치한 불법건축물(나무판자 및 계단/조리시설/신고되지 않은 야외테이블)확인하였으며 이에 대해 철거를 위한 절차가 진행중에 있음을 답변해 주었습니다. 그리고 해당 사업장의 시정명령 일자 기한은 2018년 5월1일 까지라고 답변 하였습니다. 다시한번 이를 위반한 영업소의 공유재산에 대한 무단 점유의 철거가 되었는지 확인해주시기 바랍니다. 철거가 되지 않았다면, 그 다음 행정처분 조치에 대한 진행이 어떤 조치중인지 왜 변함없는지답변에 기재하여 알려주시면 감사하겠습니다.","2018-04-23","","2018-05-02","건설교통과","처리완료","덕릉로"
"50","행안면 진동리 269번지 관련","행안면 진동리 269번지 관련*스캔참고","2018-05-04","","2018-05-15","푸른도시과","처리완료","덕릉로"
"51","(SPP-1805-1000417)부광회관앞 나무에 광고물부착 * 첨부파일촬영시간 안내","전라북도 부안군 부안읍 봉덕리 779부광회관앞 나무에 광고물부착*  *(1/1) C: 2018/05/10 15:42:23G:  *","2018-05-10","","2018-05-14","부안읍","처리완료","덕릉로"
"52","(안전보안관)(SPP-1807-2000503)횡단보도와 인도 사이에 물건 치워주세요 지나가는 사람과","전라북도 부안군 부안읍 서외리 614횡단보도와 인도 사이에 물건 치워주세요 지나가는 사람과 차의 통행에 불편함*  *(1/1) C: 2018/07/20 15:41:21G:  *","2018-07-20","","2018-07-26","건설교통과","처리완료","덕릉로"
"53","사과축제 관련 건의사항","p안녕하십니까. 장수를 사랑하는 군민입니다./p

p이번 사과랑 한우 축제를 성황리에 마쳤지만 몇가지 아쉬움이 남는 것에 대해 건의 드립니다./p

p- 건의사항/p

p1. 각 읍면 음식점의 장수의 맛 홍보 알리기/p

p: 육개장,낙지 볶음,파전 등 어느 행사를 가도 먹을 수 있는 음식입니다. 장수의 맛을 알리기 위해 오미자, 토마토, 사과 등을 활용한 음식 및 레시피를 배포하여 만든 장수 오미자청으로 만든 더덕무침, 사과조청 인삼절임, 장수 토마토 카나페, 장수 사과 소스를 곁드린 한우 스테이크 등등 다양성으로 관광객들은 맞이하면 어떨런지요?br /
2. 축제팀 외 타 부서 의견 수렴 및 개선사항 회의br /
: 축제를 마치면 끝나는게 아니라 개선사항 및 더 좋은 사항 혹은 타 축제의 좋은 점을 적용하는 마케팅을 도입하여 군민 외 타 지역 관광객들에게 인상이 깊은 축제가 되길 바랍니다. 공무원분들 외에 장수를 잘 아는 계약직원들의 의견수렴도 들어 주시면br /
감사하겠습니다./p","2017-09-25","","2017-10-10","대외협력","처리완료","동일로174길"
"54","문동신 군산시장님께 - 중소기업살리기 스코리아아트 지구보존 문화축제 협조요청공문입니다.","문동신 군산시장님께오는 10월28일에서 11월1일까지 5일간 고양시 덕양구 대자동 삼송공룡테마파크에서 """"중소기업살리기"""" """"힘내라대한민국"""" """"힘내라 중소기업""""이란 주제로 제1회 스토리아아트 지구보존 문화축제를 개최하게 되었습니다.본행사는 월드마스터 명인회 김정수 세계명인의 스코리아아트 예술품과, (사)대한명인회의 예술작품을 선보이는 자리임과 동시에 지구보존과 관련한 친환경 중소기업전, 그리고 중소기업홍보부스 및 전국 특산품전을 통하여 고양시민들과 서울시민들 그리고 중소기업이 하나가 되어 만나는 중요한 만남의 장이 될 것입니다. 또한 세계명인들의 예술작품과 가수들의 축하공연 등 다채로운 볼거리를 제공함으로 고양시민들과 서울시민들의 문화생활에도 기여 하고자 하오니 의장님께 적극적으로 후원해 주시고 축사해 주시길 간곡히 청하는 바입니다.2016.9.26.스코리아아트문화재단 김정수(세계명인) 배상 (사) 한민족운동지도자연합회 김형주 총재 배상 (사) 지구보존운동연합회 박보규이사장 배상한국안전방송 이병걸(안산 시민회 회장) 배상한국인터림협회 김형준(명지대 정치학 교수) 대회장 배상중소기업연합통신 김준수 회장 배상","2016-09-26","2016-09-26","2016-09-29","김범석","처리완료","한글비석로44길"
"55","시내버스 소음","무더위 고생이많으십니다저는 부송동 동아아파트에거주 하고있습니다여기는 버스정류장이이자 종점으로알고 있습니다그런데  요즘같은 더운날씨에 창문을열수가없습니다정류장에버스들의 소음과 매연으로 화가납니다버스가출발했을때  악셀레터를너무쎄게 밟고 올라가  소리를듣고있자니 너무짜증이납니다악셀레터는 천천시밟아도 버스출발은 가능한데 어찌 쎄게밟는지. . .소음측정도  얼마되는지 알고싶습니다","2017-08-22","2017-08-22","2017-08-31","녹색환경과","처리완료","한글비석로44길"
"56","문의드립니다","익산 시외버스 터미널이 이전된다는 소문? 이 들리던데 (송학동 쪽으로)사실인지요???? 가뜩이나 구도심 인구유출이 심화되는데너무 일방적인 도시개발이 아닌지요??? 기존 구도심은 (동산, 마동, 인화,주현) 빈민가로 만들려고 그러는건지요?혐오시설만 유치할려고 하시는건지 같은 익산시민인데 너무 일방적인 몰아주기식 개발은 형평성에 어긋나는걸로 보이는데혹시 검토중이시라면 다시한번 생각해주시기 바랍니다 같이 살아야지 편파적인 개발은 아닌거같습니다!","2016-12-17","2016-12-17","2016-12-19","교통행정과","처리완료","한글비석로44길"
"57","102번 버스기사 조기출발","102번 버스 잦은 조기출발 문제로 민원을 제기합니다오늘 오전 익산역 부근 8시 46분 출발로 되있던 버스가 37분에 출발 했습니다혹시 32분 버스가 늦은건 아닌가 해서 기다렸더니 다음 버스가 8시 55분에 도착했습니다 배차간격이 12분으로 되있던 버스가 도데체 어떻게 운행하면 9~10분 먼저 출발 할 수 있는 지 황당하네요매일 46분차를 타는데 매일 조기 출발 하지 않고 가끔 그러는 거 봐선 특정 버스기사분이 빨리운행하고 휴식시간을 더 할애하기 위해 그러시는 것 같습니다그런데 퇴근 시간도 아닌 아침 출근 시간대에 그렇게 조발을 하는 건 문제가 있다고 봅니다 익산지역 특성상 실시간 gps조회나 버스가 몇분 뒤 도착하는지 알려주는 기계를 버스정류장 설치하지 못 해서 조발문제가 더 심각하지 않나 싶습니다 아무쪼록 더운 데 고생하시고 잘 부탁 드립니다해당 게시물이 '부조리 신문고'에서 이동 되었습니다.","2016-06-30","2016-06-30","2016-07-04","교통행정과","처리완료","한글비석로44길"
"58","골목길이 위험합니다","집앞에 무슨 공사를 했는지 골목이 파여진 상태로 근 1년이상 방치되어 있습니다.또한 빈집이 있어 담장이 무너졌고 또다른 담장이 무너질 우려가 있습니다.지나가다 담이 무너져 다치면 시에서 책임을 져줍니까빈집, 무너진 담장, 무너짐이 우려되는 담장, 파여진 골목에 대한 답변을 듣고 싶고빠른 시일내에 적절한 조치바랍니다.   주소는 익산시 남중동 353-1번지 입니다노모가 혼자 살고 있으며 골목의 파여진 부분을 헛딛어 이로 인해 허리가 안 좋으신 분이 삐끗하여 병원에도 입원하셨고  현재 병원 통원 치료중입니다. 이 부분에 대해서는 시에 책임을 묻도록 하겠습니다 ","2016-05-03","2016-05-03","2016-05-19","도로관리과","처리완료","한글비석로44길"
